CGPA,Department,Python,Java,WebDev,DataAnalysis,MachineLearning,CyberSecurity,Networking,DatabaseManagement,UIUX,LabSkills,Research,Teaching,ProjectManagement,Communication,Marketing,FinancialAnalysis,GIS,CriticalThinking,Internship,Career,EmployabilityScore
4.71,Biology,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,Research Scientist,90
3.21,Psychology,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,Counsellor,69
3.67,Forestry,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Environmental Officer,60
4.0,Cyber Security,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,Cybersecurity Analyst,86
2.95,Information Systems,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,Software Developer,77
3.74,Chemistry,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,Chemist,71
2.28,Biochemistry,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,Lab Scientist,47
4.07,Agriculture,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,Research Scientist,73
2.69,Education & Mathematics,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,Data Analyst,80
3.42,Marketing,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,Business Analyst,71
3.52,Business Administration,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,Marketing Specialist,69
3.48,Mathematics,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Data Analyst,74
4.22,Microbiology,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,Lab Scientist,88
3.79,Forestry,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,GIS Specialist,90
3.94,Software Engineering,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,System Analyst,79
4.18,Education & Mathematics,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,Data Analyst,75
3.13,Geography & Planning,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,Environmental Officer,55
3.25,Psychology,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,Research Scientist,70
3.3,Education & English,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,Content Writer,65
3.01,Education & English,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,Content Writer,54
4.06,Data Science,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,AI Engineer,83
3.45,Forestry,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,GIS Specialist,77
3.74,Mass Communication,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,Content Strategist,86
3.16,Accounting,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,Financial Analyst,71
3.96,Mass Communication,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,Content Strategist,79
4.04,Information Systems,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,Software Developer,90
3.41,Guidance & Counselling,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,Social Analyst,64
2.65,Software Engineering,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,AI Engineer,69
4.1,Statistics,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,Research Scientist,70
3.94,Business Administration,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,Marketing Specialist,75
3.8,Biology,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,Research Scientist,86
2.54,Estate Management,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,Financial Analyst,67
3.47,Mathematics,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,Data Analyst,78
3.75,Criminology,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,Policy Analyst,85
3.04,Biochemistry,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Lab Scientist,62
3.34,Data Science,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,AI Engineer,93
3.22,Software Engineering,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,Software Developer,77
3.24,Political Science,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Policy Analyst,55
3.92,Criminology,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,Policy Analyst,71
4.71,Forestry,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,Environmental Officer,86
3.97,Physics,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,Research Scientist,90
3.37,Software Engineering,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,System Analyst,72
4.47,Chemistry,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,Lab Scientist,86
2.97,Law,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,Lawyer,57
3.48,Geography & Planning,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,GIS Specialist,68
3.74,Criminology,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Policy Analyst,61
3.53,Marketing,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Business Analyst,65
2.73,Software Engineering,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,AI Engineer,81
3.48,Mathematics,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,Actuary,85
4.53,Political Science,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,Social Analyst,93
2.48,Geography & Planning,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Environmental Officer,45
3.72,Mathematics,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,Data Analyst,88
3.05,Fisheries,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,Research Scientist,87
3.42,Biology,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,Research Scientist,79
3.97,Biochemistry,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,Chemist,77
3.02,English Studies,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,Content Strategist,71
2.5,Education & English,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,Content Writer,64
4.28,Mass Communication,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,Marketing Specialist,93
4.04,Estate Management,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,Property Manager,86
2.59,Economics,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,Financial Analyst,67
2.32,Biochemistry,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,Research Scientist,57
4.24,Criminology,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,Cybersecurity Analyst,81
2.51,Guidance & Counselling,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,Teacher,55
2.59,Economics,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Policy Analyst,60
2.83,Cyber Security,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,System Analyst,72
4.42,Physics,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,Research Scientist,104
4.09,Biology,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,Environmental Officer,77
3.44,Mathematics,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,Data Analyst,83
2.66,Physics,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,Research Scientist,64
3.16,Fisheries,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,Fishery Officer,64
3.49,Guidance & Counselling,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Counsellor,65
4.5,Guidance & Counselling,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,Teacher,88
4.52,Business Administration,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,Business Analyst,105
2.52,Criminology,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Security Analyst,49
3.96,Political Science,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,Lawyer,81
4.38,Agriculture,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Research Scientist,82
3.44,Software Engineering,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Software Developer,66
3.7,Mass Communication,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,Marketing Specialist,94
3.71,Statistics,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,Research Scientist,73
2.71,Computer Science,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,Cybersecurity Analyst,62
3.64,Computer Science,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,Data Scientist,97
3.24,Microbiology,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,Lab Scientist,78
2.72,Sociology,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,Research Scientist,57
3.13,Fisheries,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,Fishery Officer,56
2.53,Guidance & Counselling,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,Teacher,44
2.67,Data Science,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,Data Scientist,73
3.07,Chemistry,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,Chemist,61
3.4,Chemistry,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,Research Scientist,71
3.32,Marketing,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,Marketing Specialist,77
2.62,History & International Studies,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,Legal Researcher,59
3.21,Software Engineering,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,System Analyst,79
3.9,Biochemistry,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,Chemist,86
3.64,English Studies,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,Legal Researcher,71
4.08,Estate Management,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Property Manager,98
3.02,Information Systems,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,System Analyst,79
2.97,Law,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Policy Analyst,56
3.89,Economics,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,Economist,81
3.37,Microbiology,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,Lab Scientist,67
2.86,Geography & Planning,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,GIS Specialist,67
3.09,Chemistry,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,Research Scientist,61
2.6,Law,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Lawyer,55
3.66,History & International Studies,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,Legal Researcher,73
3.42,Cyber Security,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,Cybersecurity Analyst,73
4.24,Physics,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,Lab Scientist,83
2.88,Forestry,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,GIS Specialist,51
3.42,Criminology,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,Policy Analyst,74
4.65,Law,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,Policy Analyst,93
3.93,Data Science,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Data Analyst,76
3.81,Education & Biology,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,Lab Scientist,77
4.24,Education & English,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,Teacher,78
4.44,Banking & Finance,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,Financial Analyst,85
3.91,English Studies,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,Content Strategist,79
3.13,Guidance & Counselling,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,Teacher,71
3.13,Mathematics,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Research Scientist,64
4.4,Criminology,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Policy Analyst,80
4.63,Accounting,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,Accountant,94
3.53,Marketing,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,Content Strategist,61
3.3,Sociology,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,Policy Analyst,58
3.34,Mass Communication,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,Content Strategist,72
2.6,Psychology,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Research Scientist,55
2.56,Chemistry,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,Chemist,70
3.09,Law,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,Policy Analyst,53
2.23,Agriculture,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,Research Scientist,58
3.75,Mathematics,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,Data Analyst,83
3.82,Guidance & Counselling,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Social Analyst,65
3.31,Mathematics,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,Research Scientist,80
3.72,Software Engineering,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,Software Developer,89
4.44,Physics,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,Research Scientist,93
3.69,Banking & Finance,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,Financial Analyst,79
3.58,Software Engineering,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,AI Engineer,82
2.89,Data Science,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,AI Engineer,76
2.97,Statistics,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,Actuary,68
4.06,Psychology,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,Research Scientist,87
3.05,Forestry,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,Agricultural Officer,54
4.58,Political Science,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,Policy Analyst,91
2.9,Biology,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,Environmental Officer,59
3.93,English Studies,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,Content Writer,78
4.42,Marketing,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,Business Analyst,108
3.64,Economics,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,Economist,79
2.67,Biochemistry,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,Lab Scientist,58
3.46,Sociology,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,Social Analyst,75
3.51,Guidance & Counselling,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,Teacher,72
4.23,Physics,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,Data Analyst,77
4.59,Agriculture,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,Environmental Officer,97
3.37,Education & Mathematics,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,Curriculum Developer,71
3.86,Sociology,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,Policy Analyst,69
2.72,Forestry,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GIS Specialist,55
4.22,Business Administration,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,Project Manager,73
4.71,Forestry,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Environmental Officer,86
3.56,Criminology,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,Security Analyst,71
3.42,Psychology,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,Research Scientist,81
3.08,Education & Biology,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,Research Scientist,69
2.94,History & International Studies,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,Legal Researcher,60
3.07,Criminology,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,Policy Analyst,62
2.75,Information Systems,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,System Analyst,67
4.66,Physics,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,Research Scientist,95
3.93,Mass Communication,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Marketing Specialist,74
3.91,English Studies,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Legal Researcher,74
2.43,Banking & Finance,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,Accountant,53
3.96,Estate Management,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,Property Manager,86
4.04,Banking & Finance,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,Financial Analyst,83
3.71,Psychology,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Counsellor,64
2.66,Mass Communication,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Content Writer,51
3.06,Fisheries,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,Fishery Officer,52
2.57,Fisheries,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,Environmental Officer,59
4.23,Economics,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,Economist,90
4.58,Criminology,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,Policy Analyst,86
4.27,Physics,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Lab Scientist,81
3.38,Statistics,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,Data Analyst,65
3.97,Education & English,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,Teacher,81
3.18,Education & Mathematics,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,Curriculum Developer,76
4.04,Computer Science,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,Cybersecurity Analyst,82
2.77,Information Systems,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,Software Developer,73
2.46,Chemistry,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,Lab Scientist,66
4.7,Education & English,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,Teacher,87
4.46,Mass Communication,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,Content Strategist,77
4.53,Biochemistry,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,Chemist,99
4.1,Guidance & Counselling,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,Social Analyst,74
2.7,Forestry,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,Agricultural Officer,49
3.11,Sociology,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,Policy Analyst,51
3.16,Chemistry,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,Research Scientist,70
3.99,Education & English,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,Content Writer,72
4.47,Estate Management,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,Financial Analyst,95
4.18,Chemistry,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,Chemist,82
3.74,Biology,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,Environmental Officer,85
4.68,Guidance & Counselling,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,Counsellor,83
4.04,Statistics,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,Actuary,95
4.37,Economics,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,Financial Analyst,81
3.69,Marketing,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,Business Analyst,76
4.05,Cyber Security,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,Cybersecurity Analyst,76
3.3,Banking & Finance,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,Accountant,65
3.03,Economics,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,Policy Analyst,60
3.0,Accounting,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,Financial Analyst,68
2.97,Marketing,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,Marketing Specialist,60
4.88,Biology,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,Research Scientist,105
2.27,Estate Management,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,GIS Specialist,50
3.37,Mass Communication,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Marketing Specialist,67
3.29,Psychology,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,Counsellor,73
4.17,Information Systems,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,Software Developer,99
2.25,Cyber Security,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,Cybersecurity Analyst,67
3.81,Statistics,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,Research Scientist,96
3.95,Chemistry,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,Chemist,88
3.34,Education & English,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,Curriculum Developer,64
3.14,Marketing,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,Content Strategist,74
4.31,Education & Biology,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,Teacher,73
3.6,Education & English,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,Content Writer,68
3.74,Biochemistry,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,Research Scientist,80
3.26,Software Engineering,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,AI Engineer,95
3.66,Geography & Planning,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,Policy Analyst,86
